     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0540    -1.6571     1.3492    -1.6042    -1.0171     0.7122     0.2821   -15.1841     2.1292     0.3113
    1.0630    -1.6473     1.3510    -1.6075    -1.0115     0.7146     0.2847   -22.4421     2.1208     0.3049
    1.0547    -1.6552     1.3539    -1.5991    -1.0158     0.7113     0.2805   -12.4997     2.1310     0.3126
    1.0577    -1.6492     1.3485    -1.6120    -1.0080     0.7093     0.2910   -20.8591     2.1163     0.3017
    1.0591    -1.6532     1.3512    -1.6048    -1.0166     0.7156     0.2804   -12.1176     2.1244     0.3089
    1.0502    -1.6602     1.3532    -1.5980    -1.0166     0.7089     0.2789   -11.2886     2.1363     0.3158
    1.0506    -1.6576     1.3516    -1.6021    -1.0117     0.7090     0.2840   -13.4665     2.1298     0.3128
    1.0522    -1.6590     1.3494    -1.6027    -1.0196     0.7100     0.2786   -15.5783     2.1336     0.3118
    1.0485    -1.6607     1.3550    -1.5992    -1.0137     0.7107     0.2818   -14.7094     2.1276     0.3122
    1.0526    -1.6555     1.3505    -1.6048    -1.0131     0.7099     0.2853   -12.2614     2.1251     0.3094
    1.0498    -1.6618     1.3551    -1.5981    -1.0175     0.7110     0.2805   -15.0527     2.1320     0.3108
    1.0547    -1.6562     1.3572    -1.5946    -1.0175     0.7117     0.2782   -14.3200     2.1337     0.3154
    1.0552    -1.6573     1.3558    -1.5939    -1.0204     0.7121     0.2724   -12.0126     2.1393     0.3187
    1.0569    -1.6539     1.3555    -1.5972    -1.0170     0.7127     0.2792   -17.2712     2.1315     0.3141
    1.0562    -1.6548     1.3524    -1.5985    -1.0199     0.7117     0.2763   -19.3409     2.1343     0.3168
    1.0489    -1.6586     1.3536    -1.5983    -1.0149     0.7050     0.2825   -12.5959     2.1343     0.3125
    1.0514    -1.6604     1.3544    -1.5946    -1.0208     0.7117     0.2745   -13.7007     2.1396     0.3192
    1.0510    -1.6576     1.3545    -1.5991    -1.0133     0.7092     0.2836   -15.1014     2.1304     0.3125
    1.0514    -1.6574     1.3542    -1.5975    -1.0156     0.7058     0.2789   -12.4794     2.1362     0.3125
    1.0537    -1.6577     1.3488    -1.6064    -1.0156     0.7136     0.2812   -13.2266     2.1269     0.3099
    1.0542    -1.6580     1.3545    -1.5955    -1.0226     0.7128     0.2757   -15.8570     2.1355     0.3170
    1.0527    -1.6546     1.3417    -1.6181    -1.0083     0.7096     0.2900   -11.5714     2.1170     0.3039
    1.0554    -1.6558     1.3486    -1.6033    -1.0179     0.7127     0.2763   -12.7179     2.1329     0.3166
    1.0589    -1.6523     1.3521    -1.6015    -1.0165     0.7135     0.2790   -15.7121     2.1303     0.3128
    1.0505    -1.6609     1.3560    -1.5928    -1.0221     0.7111     0.2766   -11.1909     2.1380     0.3188
    1.0543    -1.6560     1.3536    -1.5965    -1.0172     0.7102     0.2754   -12.0570     2.1379     0.3188
    1.0516    -1.6567     1.3520    -1.6002    -1.0158     0.7075     0.2805   -13.5071     2.1331     0.3127
    1.0581    -1.6530     1.3523    -1.6040    -1.0151     0.7140     0.2813   -13.3386     2.1263     0.3064
    1.0528    -1.6580     1.3492    -1.6017    -1.0216     0.7106     0.2769   -11.5819     2.1341     0.3149
    1.0527    -1.6603     1.3548    -1.5940    -1.0214     0.7115     0.2738   -19.9809     2.1410     0.3191
    1.0510    -1.6610     1.3532    -1.5973    -1.0199     0.7132     0.2749   -16.7176     2.1359     0.3173
    1.0628    -1.6479     1.3529    -1.6009    -1.0174     0.7133     0.2783   -13.1856     2.1282     0.3130
    1.0542    -1.6524     1.3504    -1.6065    -1.0091     0.7087     0.2875   -14.5030     2.1232     0.3075
    1.0624    -1.6495     1.3522    -1.6064    -1.0146     0.7164     0.2840   -16.6021     2.1203     0.3034
    1.0544    -1.6573     1.3502    -1.6069    -1.0162     0.7145     0.2840   -11.4429     2.1220     0.3058
    1.0567    -1.6543     1.3505    -1.6061    -1.0146     0.7150     0.2830   -11.4098     2.1230     0.3085
    1.0578    -1.6536     1.3549    -1.5982    -1.0177     0.7146     0.2791   -11.5598     2.1301     0.3125
    1.0495    -1.6611     1.3499    -1.6046    -1.0176     0.7125     0.2817   -17.7238     2.1267     0.3096
    1.0528    -1.6593     1.3539    -1.5968    -1.0203     0.7126     0.2757   -16.7232     2.1358     0.3167
    1.0514    -1.6594     1.3518    -1.6037    -1.0164     0.7123     0.2821   -11.5264     2.1257     0.3091
    1.0510    -1.6560     1.3468    -1.6107    -1.0094     0.7081     0.2877   -21.1977     2.1219     0.3061
    1.0574    -1.6545     1.3487    -1.6056    -1.0190     0.7135     0.2805   -15.4432     2.1280     0.3100
    1.0569    -1.6545     1.3503    -1.6061    -1.0168     0.7143     0.2817   -14.1036     2.1231     0.3073
    1.0574    -1.6535     1.3490    -1.6087    -1.0138     0.7129     0.2815   -12.3772     2.1236     0.3055
    1.0549    -1.6545     1.3485    -1.6088    -1.0121     0.7115     0.2852   -11.9517     2.1232     0.3066
    1.0617    -1.6479     1.3521    -1.6041    -1.0134     0.7131     0.2841   -12.1889     2.1234     0.3090
    1.0569    -1.6546     1.3521    -1.6002    -1.0203     0.7131     0.2767   -18.7875     2.1324     0.3127
    1.0479    -1.6601     1.3526    -1.6024    -1.0139     0.7082     0.2865   -12.1051     2.1260     0.3076
    1.1153    -1.6508     2.9057    -0.0000    -1.2542     0.7685     0.1507   -13.2065     2.2267     0.3715
    1.0526    -1.6578     1.3478    -1.6012    -1.0192     0.7101     0.2761   -14.9934     2.1392     0.3205
    1.0617    -1.6467     1.3520    -1.6061    -1.0106     0.7121     0.2870   -17.6897     2.1193     0.3061
    1.0496    -1.6583     1.3549    -1.5979    -1.0122     0.7078     0.2826   -13.4890     2.1322     0.3136
    1.0508    -1.6593     1.3439    -1.6123    -1.0158     0.7117     0.2839   -14.8613     2.1238     0.3066
    1.0551    -1.6539     1.3538    -1.6012    -1.0132     0.7106     0.2855   -11.1803     2.1254     0.3090
    1.0550    -1.6564     1.3528    -1.6023    -1.0177     0.7117     0.2821   -11.5739     2.1279     0.3070
    1.0520    -1.6582     1.3516    -1.6012    -1.0170     0.7125     0.2800   -13.1154     2.1295     0.3141
    1.0524    -1.6574     1.3512    -1.6007    -1.0174     0.7099     0.2800   -11.5086     2.1332     0.3136
    1.0552    -1.6570     1.3530    -1.5971    -1.0197     0.7134     0.2754   -18.8843     2.1369     0.3190
    1.0596    -1.6503     1.3452    -1.6140    -1.0127     0.7135     0.2866   -15.6411     2.1191     0.3034
    1.0648    -1.6477     1.3551    -1.5965    -1.0237     0.7153     0.2773   -11.3606     2.1299     0.3141
    1.0509    -1.6615     1.3512    -1.5991    -1.0227     0.7121     0.2762   -11.8484     2.1358     0.3160
    1.0561    -1.6543     1.3517    -1.6014    -1.0181     0.7104     0.2780   -16.0418     2.1329     0.3097
    1.0559    -1.6553     1.3492    -1.6035    -1.0182     0.7121     0.2770   -13.8175     2.1333     0.3123
    1.0533    -1.6571     1.3571    -1.5924    -1.0176     0.7093     0.2761   -20.7339     2.1395     0.3189
    1.0605    -1.6533     1.3535    -1.5965    -1.0261     0.7159     0.2744   -12.4761     2.1350     0.3154
    1.0510    -1.6590     1.3500    -1.6059    -1.0138     0.7105     0.2820   -12.5145     2.1260     0.3089
    1.0576    -1.6525     1.3540    -1.5974    -1.0179     0.7111     0.2780   -10.8296     2.1345     0.3158
    1.0565    -1.6548     1.3503    -1.6067    -1.0174     0.7144     0.2818   -12.0988     2.1234     0.3040
    1.0509    -1.6587     1.3536    -1.5966    -1.0170     0.7078     0.2776   -11.6023     2.1382     0.3167
    1.0521    -1.6600     1.3556    -1.5921    -1.0263     0.7099     0.2724   -13.3447     2.1410     0.3191
    1.0640    -1.6500     1.3549    -1.5989    -1.0200     0.7191     0.2751   -17.9323     2.1297     0.3122
    1.0531    -1.6567     1.3489    -1.6074    -1.0149     0.7128     0.2833   -13.1881     2.1242     0.3075
    1.0598    -1.6519     1.3473    -1.6097    -1.0152     0.7155     0.2818   -11.2849     2.1239     0.3064
    1.0543    -1.6536     1.3522    -1.6032    -1.0108     0.7097     0.2853   -12.1387     2.1262     0.3105
    1.0557    -1.6547     1.3524    -1.5980    -1.0182     0.7109     0.2762   -11.5669     2.1366     0.3178
    1.0515    -1.6590     1.3521    -1.6004    -1.0173     0.7097     0.2810   -10.8370     2.1322     0.3126
    1.0518    -1.6603     1.3499    -1.5995    -1.0221     0.7124     0.2758   -12.5137     2.1379     0.3178
    1.0542    -1.6533     1.3509    -1.6045    -1.0117     0.7079     0.2846   -19.3076     2.1269     0.3085
    1.0472    -1.6614     1.3429    -1.6146    -1.0117     0.7094     0.2862   -16.5495     2.1221     0.3064
    1.0518    -1.6584     1.3549    -1.5956    -1.0187     0.7088     0.2775   -16.3594     2.1379     0.3154
    1.0627    -1.6498     1.3502    -1.6084    -1.0147     0.7173     0.2836   -13.6037     2.1200     0.3045
    1.0556    -1.6563     1.3549    -1.5972    -1.0196     0.7127     0.2769   -11.5825     2.1327     0.3131
    1.0486    -1.6633     1.3563    -1.5924    -1.0195     0.7106     0.2764   -13.3348     2.1402     0.3207
    1.0520    -1.6567     1.3519    -1.6025    -1.0122     0.7102     0.2845   -14.3545     2.1279     0.3127
    1.0534    -1.6574     1.3546    -1.5976    -1.0179     0.7118     0.2790   -12.4453     2.1326     0.3136
    1.0548    -1.6561     1.3549    -1.5977    -1.0171     0.7121     0.2782   -17.4006     2.1327     0.3131
    1.0564    -1.6541     1.3557    -1.5971    -1.0167     0.7127     0.2796   -11.3457     2.1305     0.3144
    1.0572    -1.6520     1.3502    -1.6088    -1.0115     0.7128     0.2870   -20.2900     2.1182     0.3041
    1.0517    -1.6586     1.3508    -1.5993    -1.0192     0.7092     0.2774   -15.1227     2.1373     0.3169
    1.0547    -1.6567     1.3558    -1.5949    -1.0171     0.7120     0.2768   -11.3644     2.1364     0.3181
    1.0539    -1.6555     1.3499    -1.6065    -1.0133     0.7104     0.2838   -15.7636     2.1255     0.3068
    1.0536    -1.6589     1.3547    -1.5939    -1.0223     0.7129     0.2732   -13.3672     2.1403     0.3194
    1.0595    -1.6535     1.3542    -1.5957    -1.0260     0.7151     0.2738   -13.2902     2.1354     0.3158
    1.0572    -1.6555     1.3553    -1.5961    -1.0229     0.7139     0.2762   -14.1502     2.1341     0.3119
    1.0529    -1.6573     1.3536    -1.5988    -1.0165     0.7114     0.2803   -19.7329     2.1323     0.3142
    1.0512    -1.6576     1.3527    -1.6009    -1.0143     0.7079     0.2821   -17.0959     2.1318     0.3104
    1.0523    -1.6591     1.3582    -1.5907    -1.0224     0.7116     0.2767   -11.0344     2.1375     0.3184
    1.0498    -1.6609     1.3499    -1.6035    -1.0173     0.7113     0.2807   -11.9427     2.1308     0.3112
    1.0518    -1.6615     1.3489    -1.6064    -1.0190     0.7158     0.2805   -13.8310     2.1251     0.3097
    1.0537    -1.6549     1.3501    -1.6074    -1.0113     0.7102     0.2867   -12.2996     2.1223     0.3056
    1.0476    -1.6626     1.3513    -1.6014    -1.0178     0.7090     0.2823   -11.2826     2.1325     0.3110
    1.0523    -1.6577     1.3491    -1.6061    -1.0164     0.7114     0.2826   -15.6345     2.1256     0.3084
    1.0536    -1.6565     1.3558    -1.5945    -1.0191     0.7117     0.2786   -13.7226     2.1336     0.3180
    1.0448    -1.6642     1.3544    -1.5993    -1.0138     0.7102     0.2830   -19.9999     2.1286     0.3128
    1.0545    -1.6558     1.3524    -1.6000    -1.0168     0.7127     0.2804   -11.8107     2.1305     0.3161
    1.0526    -1.6564     1.3531    -1.5985    -1.0166     0.7088     0.2795   -20.4798     2.1338     0.3149
    1.0596    -1.6514     1.3493    -1.6102    -1.0131     0.7148     0.2861   -16.3315     2.1183     0.3017
    1.0577    -1.6534     1.3525    -1.5991    -1.0212     0.7124     0.2780   -20.4183     2.1331     0.3125
    1.0529    -1.6553     1.3461    -1.6094    -1.0132     0.7101     0.2849   -17.7360     2.1249     0.3093
    1.0548    -1.6552     1.3494    -1.6073    -1.0131     0.7113     0.2835   -11.8984     2.1248     0.3071
    1.0512    -1.6641     1.3588    -1.5914    -1.0263     0.7151     0.2741   -14.5202     2.1362     0.3153
    1.0600    -1.6530     1.3467    -1.6119    -1.0169     0.7158     0.2831   -14.8028     2.1221     0.3015
    1.0563    -1.6560     1.3493    -1.6032    -1.0206     0.7153     0.2770   -10.5410     2.1311     0.3133
    1.0525    -1.6583     1.3525    -1.5992    -1.0183     0.7104     0.2783   -18.5346     2.1348     0.3135
    1.0567    -1.6547     1.3546    -1.5962    -1.0187     0.7139     0.2773   -17.4753     2.1346     0.3179
    1.0538    -1.6571     1.3541    -1.5977    -1.0182     0.7099     0.2776   -15.3541     2.1360     0.3131
    1.0538    -1.6560     1.3482    -1.6086    -1.0142     0.7117     0.2841   -11.9095     2.1237     0.3054
    1.0543    -1.6543     1.3506    -1.6065    -1.0123     0.7101     0.2851   -11.4654     2.1240     0.3058
    1.0555    -1.6560     1.3531    -1.6030    -1.0171     0.7141     0.2820   -16.9884     2.1247     0.3062
    1.0510    -1.6579     1.3469    -1.6063    -1.0149     0.7095     0.2808   -12.5427     2.1308     0.3131
    1.0529    -1.6581     1.3544    -1.5944    -1.0209     0.7120     0.2764   -18.6993     2.1381     0.3190
    1.0531    -1.6579     1.3511    -1.6027    -1.0189     0.7105     0.2775   -13.6876     2.1303     0.3104
    1.0589    -1.6522     1.3471    -1.6104    -1.0147     0.7144     0.2831   -11.5576     2.1227     0.3059
    1.0514    -1.6605     1.3479    -1.6061    -1.0185     0.7131     0.2797   -13.8264     2.1290     0.3104
    1.0597    -1.6512     1.3535    -1.6044    -1.0139     0.7163     0.2842   -12.3468     2.1204     0.3062
    1.0510    -1.6599     1.3561    -1.5939    -1.0179     0.7069     0.2778   -11.3313     2.1411     0.3153
    1.0583    -1.6531     1.3491    -1.6075    -1.0149     0.7142     0.2824   -11.6185     2.1241     0.3070
    1.0539    -1.6546     1.3519    -1.6041    -1.0119     0.7112     0.2850   -18.3492     2.1246     0.3100
    1.0585    -1.6499     1.3522    -1.6032    -1.0119     0.7104     0.2846   -11.8916     2.1252     0.3106
    1.0575    -1.6539     1.3486    -1.6076    -1.0173     0.7154     0.2805   -15.7333     2.1240     0.3072
    1.0550    -1.6558     1.3522    -1.6007    -1.0182     0.7115     0.2788   -16.2417     2.1315     0.3120
    1.0532    -1.6566     1.3582    -1.5904    -1.0168     0.7092     0.2772   -18.0292     2.1402     0.3208
    1.0545    -1.6570     1.3553    -1.5951    -1.0225     0.7114     0.2751   -12.8946     2.1375     0.3139
    1.0546    -1.6580     1.3536    -1.5963    -1.0230     0.7127     0.2735   -16.2601     2.1379     0.3164
    1.0537    -1.6574     1.3486    -1.6016    -1.0219     0.7105     0.2741   -12.6099     2.1362     0.3166
    1.0494    -1.6616     1.3505    -1.6015    -1.0183     0.7112     0.2812   -13.4124     2.1315     0.3135
    1.0547    -1.6543     1.3515    -1.6041    -1.0140     0.7115     0.2836   -11.5769     2.1249     0.3093
    1.0506    -1.6580     1.3518    -1.6057    -1.0122     0.7110     0.2863   -12.7549     2.1205     0.3065
    1.0509    -1.6579     1.3509    -1.6007    -1.0162     0.7076     0.2796   -12.0429     2.1353     0.3139
    1.0534    -1.6560     1.3543    -1.5984    -1.0155     0.7098     0.2800   -11.3098     2.1318     0.3137
    1.0512    -1.6584     1.3494    -1.6073    -1.0131     0.7104     0.2862   -11.8381     2.1241     0.3055
    1.0586    -1.6530     1.3540    -1.5987    -1.0174     0.7145     0.2778   -10.9126     2.1315     0.3143
    1.0537    -1.6570     1.3536    -1.5970    -1.0182     0.7112     0.2763   -13.1243     2.1360     0.3168
    1.0641    -1.6498     1.3550    -1.5976    -1.0212     0.7181     0.2740   -14.0013     2.1315     0.3142
    1.0532    -1.6581     1.3519    -1.5989    -1.0182     0.7118     0.2750   -13.1403     2.1358     0.3178
    1.0553    -1.6544     1.3523    -1.6038    -1.0147     0.7119     0.2835   -11.1666     2.1256     0.3057
    1.0513    -1.6599     1.3527    -1.5989    -1.0192     0.7123     0.2783   -12.1144     2.1321     0.3142
    1.0577    -1.6517     1.3516    -1.6046    -1.0124     0.7129     0.2855   -13.3290     2.1235     0.3088
    1.0612    -1.6475     1.3498    -1.6117    -1.0081     0.7131     0.2890   -11.8852     2.1157     0.3005
    1.0643    -1.6491     1.3534    -1.6003    -1.0206     0.7180     0.2777   -13.9768     2.1279     0.3125
    1.0531    -1.6573     1.3509    -1.6016    -1.0183     0.7105     0.2760   -11.5267     2.1314     0.3147
    1.0544    -1.6530     1.3491    -1.6094    -1.0078     0.7104     0.2897   -12.9694     2.1201     0.3057
    1.0574    -1.6519     1.3483    -1.6106    -1.0112     0.7116     0.2860   -14.8184     2.1197     0.3036
    1.0524    -1.6590     1.3525    -1.6009    -1.0198     0.7101     0.2788   -11.6347     2.1328     0.3074
    1.0525    -1.6595     1.3544    -1.5959    -1.0210     0.7119     0.2765   -20.6074     2.1369     0.3161
    1.0594    -1.6439     1.3503    -1.6108    -1.0024     0.7049     0.2965   -11.3912     2.1158     0.3016
    1.0542    -1.6552     1.3490    -1.6115    -1.0089     0.7123     0.2858   -15.1625     2.1173     0.3029
    1.0498    -1.6606     1.3508    -1.6053    -1.0147     0.7102     0.2849   -13.3789     2.1258     0.3066
    1.0643    -1.6477     1.3548    -1.5981    -1.0208     0.7143     0.2772   -10.9128     2.1293     0.3130
    1.0520    -1.6567     1.3514    -1.6034    -1.0142     0.7096     0.2827   -11.8259     2.1278     0.3094
    1.0593    -1.6533     1.3523    -1.6041    -1.0167     0.7164     0.2805   -12.1502     2.1240     0.3077
    1.0552    -1.6554     1.3504    -1.6054    -1.0152     0.7124     0.2820   -12.3341     2.1265     0.3078
    1.0522    -1.6576     1.3505    -1.6031    -1.0165     0.7102     0.2791   -12.0295     2.1295     0.3118
    1.0524    -1.6570     1.3528    -1.6002    -1.0156     0.7099     0.2802   -14.9072     2.1317     0.3126
    1.0557    -1.6558     1.3538    -1.5953    -1.0224     0.7115     0.2748   -11.9669     2.1382     0.3177
    1.0569    -1.6555     1.3540    -1.5964    -1.0245     0.7136     0.2740   -11.6217     2.1353     0.3140
    1.0633    -1.6505     1.3503    -1.6039    -1.0204     0.7191     0.2765   -12.1460     2.1280     0.3113
    1.0491    -1.6615     1.3514    -1.6027    -1.0158     0.7121     0.2827   -19.0284     2.1285     0.3114
    1.0513    -1.6597     1.3470    -1.6094    -1.0153     0.7125     0.2819   -18.8753     2.1247     0.3072
    1.0662    -1.6492     1.3549    -1.5987    -1.0246     0.7228     0.2741   -11.7005     2.1276     0.3122
    1.0533    -1.6571     1.3513    -1.6053    -1.0148     0.7117     0.2832   -15.8914     2.1250     0.3061
    1.0566    -1.6554     1.3523    -1.5974    -1.0262     0.7130     0.2762   -13.9232     2.1347     0.3142
    1.0446    -1.6622     1.3427    -1.6134    -1.0091     0.7071     0.2887   -12.4527     2.1248     0.3085
    1.0510    -1.6576     1.3472    -1.6083    -1.0130     0.7105     0.2851   -12.5117     2.1248     0.3095
    1.0550    -1.6557     1.3549    -1.5948    -1.0221     0.7094     0.2762   -26.1436     2.1383     0.3141
    1.0528    -1.6567     1.3506    -1.6036    -1.0150     0.7097     0.2804   -12.8596     2.1302     0.3100
    1.0578    -1.6506     1.3478    -1.6147    -1.0083     0.7101     0.2905   -11.4252     2.1145     0.2964
    1.0573    -1.6540     1.3503    -1.6026    -1.0205     0.7120     0.2769   -12.3450     2.1307     0.3120
    1.0534    -1.6567     1.3502    -1.6117    -1.0109     0.7112     0.2896   -13.3615     2.1154     0.2971
    1.0536    -1.6564     1.3523    -1.6016    -1.0154     0.7121     0.2820   -12.9073     2.1285     0.3122
    1.0537    -1.6565     1.3545    -1.5993    -1.0160     0.7122     0.2804   -12.1655     2.1283     0.3127
    1.0499    -1.6598     1.3529    -1.6014    -1.0147     0.7098     0.2827   -13.0082     2.1291     0.3108
    1.0663    -1.6491     1.3563    -1.5936    -1.0254     0.7196     0.2725   -13.8456     2.1349     0.3190
    1.0552    -1.6566     1.3500    -1.6025    -1.0215     0.7144     0.2772   -17.8295     2.1302     0.3127
    1.0519    -1.6588     1.3490    -1.5994    -1.0231     0.7094     0.2744   -10.8923     2.1394     0.3194
    1.0522    -1.6579     1.3467    -1.6066    -1.0166     0.7118     0.2811   -12.2502     2.1296     0.3129
    1.0520    -1.6564     1.3527    -1.6016    -1.0105     0.7076     0.2831   -25.7225     2.1314     0.3116
    1.0563    -1.6539     1.3487    -1.6033    -1.0193     0.7113     0.2773   -12.5594     2.1324     0.3137
    1.0482    -1.6605     1.3507    -1.6046    -1.0124     0.7091     0.2849   -14.8078     2.1271     0.3082
    1.0526    -1.6589     1.3540    -1.6001    -1.0187     0.7123     0.2803   -15.1023     2.1299     0.3080
    1.0506    -1.6580     1.3512    -1.6049    -1.0123     0.7118     0.2853   -13.4135     2.1235     0.3078
    1.0557    -1.6575     1.3530    -1.5985    -1.0214     0.7144     0.2763   -12.9383     2.1340     0.3142
    1.0544    -1.6540     1.3538    -1.6008    -1.0132     0.7091     0.2832   -12.2537     2.1283     0.3097
    1.0527    -1.6578     1.3574    -1.5908    -1.0200     0.7086     0.2752   -13.7604     2.1419     0.3199
    1.0489    -1.6618     1.3490    -1.6071    -1.0153     0.7112     0.2854   -11.8284     2.1254     0.3061
    1.0530    -1.6571     1.3520    -1.6007    -1.0180     0.7101     0.2792   -13.5964     2.1315     0.3126
    1.0484    -1.6605     1.3437    -1.6111    -1.0138     0.7081     0.2840   -17.7893     2.1287     0.3091
    1.0503    -1.6620     1.3512    -1.6006    -1.0215     0.7137     0.2778   -16.9390     2.1335     0.3126
    1.0506    -1.6601     1.3496    -1.6045    -1.0172     0.7116     0.2801   -14.0266     2.1293     0.3096
    1.0557    -1.6556     1.3513    -1.6013    -1.0175     0.7126     0.2802   -17.3721     2.1315     0.3136
    1.0539    -1.6568     1.3486    -1.6051    -1.0185     0.7109     0.2784   -11.5421     2.1292     0.3114
    1.0596    -1.6543     1.3510    -1.6008    -1.0238     0.7159     0.2776   -15.2359     2.1312     0.3134
    1.0523    -1.6563     1.3547    -1.5960    -1.0163     0.7076     0.2779   -11.9993     2.1360     0.3159
    1.0568    -1.6552     1.3539    -1.5975    -1.0221     0.7136     0.2764   -11.0012     2.1327     0.3137
    1.0525    -1.6571     1.3543    -1.6005    -1.0133     0.7117     0.2830   -21.4932     2.1276     0.3110
    1.0566    -1.6551     1.3548    -1.5954    -1.0194     0.7110     0.2748   -19.5177     2.1388     0.3164
    1.0574    -1.6540     1.3544    -1.5971    -1.0204     0.7129     0.2765   -16.0869     2.1337     0.3144
    1.0497    -1.6604     1.3519    -1.6005    -1.0168     0.7101     0.2800   -12.6822     2.1323     0.3134
    1.0588    -1.6518     1.3498    -1.6074    -1.0129     0.7132     0.2843   -15.0203     2.1238     0.3058
    1.0501    -1.6599     1.3562    -1.5948    -1.0182     0.7106     0.2780   -10.9380     2.1337     0.3166
    1.0505    -1.6597     1.3517    -1.5992    -1.0186     0.7111     0.2789   -11.5502     2.1339     0.3163
    1.0535    -1.6568     1.3522    -1.5991    -1.0178     0.7104     0.2779   -16.9599     2.1345     0.3157
    1.0551    -1.6553     1.3504    -1.6035    -1.0158     0.7135     0.2827   -11.9474     2.1270     0.3126
    1.0512    -1.6573     1.3517    -1.6028    -1.0115     0.7105     0.2841   -14.3380     2.1280     0.3127
    1.0513    -1.6590     1.3541    -1.5950    -1.0195     0.7076     0.2749   -17.9525     2.1405     0.3184
    1.0541    -1.6573     1.3531    -1.6009    -1.0167     0.7123     0.2804   -13.8484     2.1300     0.3100
    1.0516    -1.6589     1.3534    -1.6014    -1.0154     0.7113     0.2847   -12.0543     2.1265     0.3083
    1.0514    -1.6598     1.3520    -1.6009    -1.0180     0.7120     0.2806   -12.8324     2.1305     0.3124
    1.0528    -1.6579     1.3434    -1.6127    -1.0142     0.7135     0.2831   -16.8748     2.1241     0.3104
    1.0545    -1.6542     1.3481    -1.6078    -1.0140     0.7099     0.2831   -12.5449     2.1257     0.3071
    1.0491    -1.6606     1.3501    -1.6036    -1.0168     0.7085     0.2834   -11.5677     2.1307     0.3092
    1.0496    -1.6623     1.3475    -1.6061    -1.0191     0.7124     0.2796   -14.5475     2.1298     0.3100
    1.0508    -1.6605     1.3561    -1.5969    -1.0172     0.7133     0.2808   -20.4501     2.1306     0.3131
    1.0540    -1.6570     1.3542    -1.5969    -1.0202     0.7128     0.2775   -15.4933     2.1330     0.3160
    1.0562    -1.6554     1.3513    -1.6004    -1.0215     0.7126     0.2766   -13.9217     2.1330     0.3128
    1.0515    -1.6584     1.3515    -1.6010    -1.0168     0.7116     0.2799   -13.7810     2.1309     0.3143
    1.0550    -1.6565     1.3503    -1.6036    -1.0179     0.7147     0.2790   -13.9086     2.1289     0.3117
    1.0575    -1.6548     1.3532    -1.6038    -1.0168     0.7152     0.2846   -14.4021     2.1225     0.3055
    1.0551    -1.6558     1.3562    -1.5934    -1.0210     0.7107     0.2744   -15.6289     2.1378     0.3183
    1.0609    -1.6492     1.3477    -1.6091    -1.0139     0.7143     0.2843   -19.3110     2.1226     0.3082
    1.0537    -1.6563     1.3526    -1.6007    -1.0156     0.7107     0.2800   -12.9011     2.1309     0.3122
    1.0581    -1.6527     1.3514    -1.6009    -1.0162     0.7125     0.2771   -14.5459     2.1333     0.3155
    1.0588    -1.6503     1.3472    -1.6131    -1.0108     0.7122     0.2882   -14.9388     2.1166     0.3016
    1.0536    -1.6571     1.3547    -1.5962    -1.0202     0.7119     0.2776   -21.8873     2.1340     0.3159
    1.0552    -1.6569     1.3474    -1.6024    -1.0226     0.7109     0.2730   -11.4622     2.1379     0.3170
    1.0544    -1.6547     1.3458    -1.6131    -1.0113     0.7119     0.2876   -20.5090     2.1190     0.3048
    1.0544    -1.6569     1.3532    -1.6014    -1.0157     0.7150     0.2821   -14.9199     2.1263     0.3123
    1.0513    -1.6631     1.3547    -1.5949    -1.0274     0.7119     0.2743   -13.2344     2.1381     0.3143
    1.0535    -1.6582     1.3538    -1.5992    -1.0202     0.7151     0.2795   -16.6891     2.1288     0.3112
    1.0549    -1.6533     1.3480    -1.6100    -1.0116     0.7103     0.2852   -17.8392     2.1216     0.3048
    1.0600    -1.6500     1.3498    -1.6111    -1.0115     0.7133     0.2871   -15.9078     2.1159     0.2994
    1.0513    -1.6591     1.3561    -1.5955    -1.0165     0.7112     0.2795   -13.2198     2.1335     0.3150
    1.0540    -1.6573     1.3473    -1.6059    -1.0186     0.7136     0.2796   -11.7496     2.1298     0.3121
    1.0558    -1.6561     1.3564    -1.5909    -1.0216     0.7091     0.2705   -12.3621     2.1456     0.3212
    1.0532    -1.6566     1.3492    -1.6025    -1.0185     0.7108     0.2788   -11.8385     2.1334     0.3143
    1.0532    -1.6579     1.3544    -1.5966    -1.0177     0.7117     0.2772   -11.3845     2.1350     0.3173
    1.0601    -1.6482     1.3526    -1.6060    -1.0109     0.7120     0.2881   -15.4040     2.1188     0.3044
    1.0553    -1.6549     1.3542    -1.5974    -1.0163     0.7119     0.2771   -17.9206     2.1332     0.3177
    1.0557    -1.6551     1.3519    -1.6053    -1.0141     0.7154     0.2843   -14.1722     2.1212     0.3065
    1.0550    -1.6566     1.3538    -1.5931    -1.0258     0.7088     0.2716   -11.7359     2.1447     0.3194
    1.0600    -1.6549     1.3519    -1.5991    -1.0273     0.7183     0.2750   -13.1475     2.1316     0.3148
    1.0560    -1.6560     1.3506    -1.6003    -1.0210     0.7122     0.2748   -11.7949     2.1357     0.3158
    1.0580    -1.6533     1.3510    -1.6022    -1.0178     0.7132     0.2786   -11.2837     2.1302     0.3129
