     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0535    -1.6568     1.3568    -1.5928    -1.0180     0.7095     0.2763   -13.9957     2.1392     0.3175
    1.0518    -1.6600     1.3563    -1.5951    -1.0221     0.7124     0.2782   -18.1451     2.1324     0.3135
    1.0494    -1.6603     1.3497    -1.6067    -1.0134     0.7120     0.2839   -14.2557     2.1239     0.3078
    1.0559    -1.6564     1.3552    -1.5952    -1.0231     0.7133     0.2769   -13.4998     2.1352     0.3141
    1.0517    -1.6594     1.3549    -1.5969    -1.0183     0.7116     0.2781   -21.1623     2.1337     0.3137
    1.0473    -1.6616     1.3528    -1.6008    -1.0128     0.7092     0.2833   -11.2096     2.1302     0.3125
    1.0685    -1.6419     1.3493    -1.6087    -1.0141     0.7156     0.2849   -13.4108     2.1191     0.3066
    1.0523    -1.6581     1.3518    -1.5997    -1.0186     0.7093     0.2766   -11.8636     2.1348     0.3146
    1.0548    -1.6571     1.3569    -1.5951    -1.0197     0.7150     0.2784   -12.3988     2.1312     0.3145
    1.0581    -1.6538     1.3526    -1.6008    -1.0176     0.7144     0.2801   -20.1652     2.1295     0.3129
    1.0563    -1.6531     1.3521    -1.6049    -1.0126     0.7117     0.2859   -16.9400     2.1234     0.3066
    1.0499    -1.6614     1.3520    -1.6028    -1.0162     0.7106     0.2825   -12.3478     2.1284     0.3088
    1.0514    -1.6601     1.3539    -1.5966    -1.0233     0.7104     0.2779   -12.1559     2.1356     0.3126
    1.0541    -1.6547     1.3505    -1.6040    -1.0132     0.7099     0.2827   -12.1281     2.1287     0.3109
    1.0644    -1.6505     1.3547    -1.5972    -1.0248     0.7185     0.2757   -14.9021     2.1312     0.3129
    1.0516    -1.6604     1.3539    -1.5966    -1.0198     0.7105     0.2762   -20.4958     2.1373     0.3155
    1.0533    -1.6560     1.3505    -1.6037    -1.0156     0.7108     0.2816   -16.9671     2.1278     0.3110
    1.0562    -1.6550     1.3496    -1.6020    -1.0210     0.7123     0.2772   -15.6034     2.1333     0.3140
    1.0534    -1.6566     1.3520    -1.6030    -1.0154     0.7113     0.2812   -12.1557     2.1272     0.3092
    1.0528    -1.6574     1.3534    -1.5996    -1.0165     0.7120     0.2799   -12.5388     2.1307     0.3121
    1.0533    -1.6551     1.3505    -1.6050    -1.0132     0.7092     0.2831   -11.4090     2.1268     0.3078
    1.0540    -1.6576     1.3520    -1.6025    -1.0172     0.7153     0.2809   -12.0378     2.1263     0.3116
    1.0503    -1.6606     1.3533    -1.5999    -1.0173     0.7116     0.2817   -14.4607     2.1308     0.3119
    1.0621    -1.6518     1.3558    -1.5948    -1.0244     0.7167     0.2729   -15.5569     2.1358     0.3160
    1.0483    -1.6600     1.3520    -1.6023    -1.0152     0.7063     0.2832   -14.9837     2.1294     0.3078
    1.0552    -1.6531     1.3491    -1.6106    -1.0085     0.7104     0.2877   -16.6163     2.1204     0.3017
    1.0706    -1.6359     1.3548    -1.6044    -1.0087     0.7098     0.2904   -13.4754     2.1179     0.3041
    1.0587    -1.6558     1.3547    -1.5978    -1.0231     0.7189     0.2750   -18.1620     2.1313     0.3128
    1.0516    -1.6595     1.3543    -1.5972    -1.0205     0.7115     0.2792   -12.0862     2.1340     0.3124
    1.0510    -1.6606     1.3534    -1.5999    -1.0181     0.7134     0.2804   -17.2301     2.1301     0.3117
    1.0611    -1.6476     1.3479    -1.6108    -1.0104     0.7132     0.2869   -15.8755     2.1187     0.3063
    1.0542    -1.6575     1.3484    -1.6097    -1.0142     0.7145     0.2867   -14.6626     2.1199     0.3051
    1.0691    -1.6398     1.3527    -1.6067    -1.0115     0.7135     0.2871   -15.4633     2.1173     0.3041
    1.0529    -1.6575     1.3471    -1.6070    -1.0156     0.7126     0.2808   -13.4601     2.1289     0.3118
    1.0579    -1.6516     1.3495    -1.6121    -1.0104     0.7122     0.2886   -12.8327     2.1152     0.2984
    1.0561    -1.6566     1.3491    -1.6034    -1.0205     0.7134     0.2758   -16.5381     2.1325     0.3136
    1.0539    -1.6562     1.3581    -1.5926    -1.0183     0.7118     0.2787   -15.0759     2.1342     0.3176
    1.0518    -1.6613     1.3468    -1.6050    -1.0218     0.7126     0.2762   -21.7611     2.1339     0.3144
    1.0523    -1.6573     1.3488    -1.6036    -1.0162     0.7084     0.2785   -11.8883     2.1340     0.3127
    1.0559    -1.6564     1.3417    -1.6117    -1.0193     0.7154     0.2781   -12.3760     2.1287     0.3129
    1.0638    -1.6479     1.3518    -1.6076    -1.0151     0.7169     0.2846   -12.0079     2.1178     0.3022
    1.0519    -1.6571     1.3506    -1.6018    -1.0159     0.7086     0.2795   -25.5232     2.1327     0.3128
    1.0513    -1.6565     1.3498    -1.6015    -1.0149     0.7070     0.2807   -13.6928     2.1348     0.3161
    1.0527    -1.6588     1.3542    -1.6007    -1.0181     0.7110     0.2819   -14.1328     2.1290     0.3058
    1.0567    -1.6540     1.3534    -1.6013    -1.0156     0.7140     0.2794   -10.9424     2.1275     0.3107
    1.0541    -1.6575     1.3539    -1.5991    -1.0203     0.7122     0.2789   -14.6342     2.1315     0.3097
    1.0555    -1.6557     1.3526    -1.5983    -1.0187     0.7101     0.2750   -12.4676     2.1373     0.3160
    1.0633    -1.6429     1.3517    -1.6068    -1.0076     0.7093     0.2912   -19.2739     2.1189     0.3062
    1.0540    -1.6567     1.3541    -1.5948    -1.0253     0.7080     0.2746   -25.1524     2.1398     0.3134
    1.0540    -1.6591     1.3548    -1.5963    -1.0224     0.7115     0.2766   -16.5554     2.1368     0.3124
    1.0548    -1.6566     1.3570    -1.5935    -1.0190     0.7122     0.2770   -11.7528     2.1354     0.3167
    1.0676    -1.6469     1.3517    -1.6047    -1.0212     0.7218     0.2776   -11.1955     2.1227     0.3074
    1.0585    -1.6533     1.3516    -1.6013    -1.0187     0.7154     0.2792   -17.1237     2.1288     0.3146
    1.0523    -1.6573     1.3489    -1.6028    -1.0177     0.7084     0.2774   -12.6349     2.1348     0.3145
    1.0555    -1.6561     1.3546    -1.5970    -1.0203     0.7129     0.2766   -12.1055     2.1332     0.3143
    1.0549    -1.6548     1.3500    -1.6032    -1.0146     0.7102     0.2801   -11.9426     2.1316     0.3128
    1.0533    -1.6572     1.3505    -1.6035    -1.0152     0.7124     0.2819   -11.1674     2.1283     0.3127
