     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0526    -1.6678     1.9773    -1.5806    -1.0313     0.7209     0.2508   -16.8073     2.1556     0.3525
    1.0496    -1.6640     1.9630    -1.5969    -1.0241     0.7165     0.2581   -18.7459     2.1493     0.3474
    1.0567    -1.6592     1.9688    -1.5996    -1.0100     0.7228     0.2670   -16.9545     2.1350     0.3374
    1.0626    -1.6598     1.9591    -1.6108    -1.0198     0.7313     0.2647   -12.3341     2.1301     0.3343
    1.0765    -1.6458     1.9646    -1.6227    -0.9992     0.7378     0.2836   -13.1862     2.1008     0.3136
    1.0482    -1.6663     1.9755    -1.5889    -1.0107     0.7144     0.2650   -16.9233     2.1457     0.3428
    1.0457    -1.6600     1.9650    -1.6074    -0.9821     0.7065     0.2768   -13.6804     2.1369     0.3357
    1.0540    -1.6571     1.9597    -1.6122    -1.0016     0.7167     0.2747   -16.9848     2.1306     0.3310
    1.0502    -1.6619     1.9722    -1.5901    -1.0124     0.7141     0.2617   -16.9667     2.1492     0.3457
    1.0725    -1.6529     1.9735    -1.5943    -1.0288     0.7360     0.2599   -16.9077     2.1329     0.3349
    1.0467    -1.6784     1.9795    -1.5790    -1.0344     0.7308     0.2502   -16.9997     2.1517     0.3528
    1.0467    -1.6638     1.9697    -1.5927    -0.9996     0.7084     0.2625   -11.3646     2.1550     0.3516
    1.0566    -1.6591     1.9688    -1.6000    -1.0083     0.7203     0.2678   -16.2355     2.1370     0.3358
    1.0677    -1.6546     1.9623    -1.6241    -1.0073     0.7363     0.2846   -13.5215     2.0988     0.3106
    1.0610    -1.6582     1.9654    -1.6078    -1.0109     0.7272     0.2717   -16.9424     2.1256     0.3284
    1.0506    -1.6605     1.9656    -1.6029    -0.9972     0.7121     0.2696   -16.9389     2.1413     0.3387
    1.0720    -1.6513     1.9699    -1.5998    -1.0190     0.7344     0.2627   -14.6763     2.1314     0.3358
    1.0608    -1.6610     1.9834    -1.5723    -1.0446     0.7323     0.2446   -16.9835     2.1525     0.3552
    1.0476    -1.6618     1.9684    -1.5972    -1.0043     0.7040     0.2646   -16.9416     2.1473     0.3404
    1.2240    -1.6283     2.0125    -1.5080   -18.6383     0.8804     0.0500   -16.6783     2.2091     0.3955
    1.0620    -1.6561     1.9753    -1.5888    -1.0165     0.7224     0.2606   -16.9571     2.1451     0.3441
    1.0585    -1.6619     1.9701    -1.5999    -1.0149     0.7275     0.2664   -18.2422     2.1326     0.3337
    1.0505    -1.6619     1.9678    -1.6016    -1.0016     0.7149     0.2717   -16.7739     2.1365     0.3356
    1.0650    -1.6566     1.9691    -1.6025    -1.0156     0.7325     0.2666   -19.2682     2.1278     0.3313
    1.0490    -1.6600     1.9605    -1.6087    -0.9939     0.7101     0.2712   -16.7327     2.1396     0.3389
    1.0620    -1.6570     1.9742    -1.5933    -1.0202     0.7264     0.2629   -11.1781     2.1362     0.3342
    1.0582    -1.6584     1.9566    -1.6153    -1.0042     0.7256     0.2684   -16.7900     2.1312     0.3347
    1.2992    -1.5982     2.0145    -1.5058   -18.5109     0.9650     0.0444   -20.6979     2.1969     0.3746
    1.1684    -1.6560     1.9900    -1.5283   -12.1743     0.8247     0.0897   -15.1472     2.1987     0.3696
    1.0460    -1.6583     1.9708    -1.5979    -0.9913     0.7015     0.2749   -16.9723     2.1421     0.3355
    1.0571    -1.6585     1.9655    -1.6035    -1.0098     0.7211     0.2671   -14.3994     2.1363     0.3344
    1.0665    -1.6552     1.9625    -1.6218    -1.0055     0.7342     0.2817   -16.9666     2.1049     0.3128
    1.2876    -1.5914     2.0093    -1.5119   -10.7397     0.9468     0.0167   -27.0116     2.2148     0.4164
    1.2256    -1.6362     2.0045    -1.5151   -10.0350     0.8986     0.0506   -16.9341     2.2077     0.3901
    1.0745    -1.6529     1.9702    -1.6038    -1.0250     0.7425     0.2654   -16.9431     2.1201     0.3268
    1.0536    -1.6650     1.9649    -1.6106    -1.0063     0.7272     0.2750   -16.7279     2.1226     0.3262
    1.0534    -1.6682     1.9680    -1.6042    -1.0115     0.7285     0.2712   -16.9656     2.1284     0.3308
    1.0500    -1.6637     1.9602    -1.6112    -0.9972     0.7170     0.2719   -11.4546     2.1349     0.3359
    1.2347    -1.6719     2.0178    -1.5011   -14.2014     0.9865     0.0194   -16.6973     2.2116     0.4159
    1.0446    -1.6625     1.9688    -1.5978    -0.9967     0.7039     0.2689   -16.9669     2.1458     0.3400
    1.0824    -1.6490     1.9638    -1.6270    -1.0097     0.7456     0.2852   -12.2275     2.0940     0.3067
    1.0702    -1.6521     1.9735    -1.5959    -1.0203     0.7316     0.2655   -12.6710     2.1312     0.3341
    1.0567    -1.6603     1.9711    -1.5979    -1.0109     0.7227     0.2666   -11.4106     2.1356     0.3357
    1.0567    -1.6647     1.9748    -1.5898    -1.0253     0.7289     0.2594   -16.8760     2.1409     0.3401
    1.0726    -1.6464     1.9631    -1.6241    -0.9966     0.7330     0.2870   -16.9638     2.1008     0.3128
    1.0609    -1.6595     1.9642    -1.6194    -1.0003     0.7337     0.2789   -16.8485     2.1083     0.3172
    1.0561    -1.6598     1.9792    -1.5786    -1.0243     0.7150     0.2542   -16.9457     2.1585     0.3512
    1.0759    -1.6524     1.9751    -1.5945    -1.0306     0.7421     0.2634   -16.9998     2.1265     0.3329
    1.0547    -1.6622     1.9697    -1.6005    -1.0119     0.7240     0.2686   -11.9473     2.1318     0.3321
    1.0675    -1.6566     1.9737    -1.5966    -1.0235     0.7353     0.2664   -11.6541     2.1271     0.3315
    1.0597    -1.6533     1.9626    -1.6198    -0.9891     0.7216     0.2816   -14.4006     2.1152     0.3192
    1.0647    -1.6596     1.9785    -1.5802    -1.0395     0.7324     0.2466   -16.9069     2.1519     0.3495
    1.0526    -1.6632     1.9739    -1.5894    -1.0153     0.7200     0.2625   -16.9758     2.1447     0.3447
    1.0584    -1.6583     1.9720    -1.5976    -1.0097     0.7242     0.2689   -14.8137     2.1331     0.3348
    1.2253    -1.6604     2.0046    -1.5153   -10.2385     0.9365     0.0505   -11.8172     2.1986     0.3900
    1.0797    -1.6474     1.9634    -1.6279    -1.0071     0.7468     0.2826   -13.2845     2.0913     0.3062
    1.2197    -1.6559     2.0172    -1.5014   -11.9650     0.9167     0.0500   -16.9483     2.2060     0.3899
    1.0532    -1.6684     1.9732    -1.5873    -1.0256     0.7250     0.2532   -13.0114     2.1520     0.3493
    1.0468    -1.6715     1.9694    -1.5963    -1.0154     0.7241     0.2662   -16.9657     2.1393     0.3413
    1.0572    -1.6620     1.9734    -1.5891    -1.0227     0.7250     0.2594   -16.7159     2.1451     0.3457
    1.0578    -1.6506     1.9671    -1.6063    -0.9959     0.7168     0.2745   -12.0244     2.1274     0.3300
    1.0624    -1.6597     1.9846    -1.5701    -1.0426     0.7252     0.2461   -16.3389     2.1587     0.3573
    1.0628    -1.6586     1.9688    -1.6066    -1.0161     0.7322     0.2738   -11.7814     2.1194     0.3223
    1.0593    -1.6594     1.9654    -1.5999    -1.0145     0.7242     0.2612   -16.6716     2.1424     0.3429
    1.0720    -1.6578     1.9737    -1.5936    -1.0368     0.7438     0.2574   -14.4434     2.1311     0.3351
    1.0492    -1.6672     1.9594    -1.6014    -1.0215     0.7159     0.2605   -15.6252     2.1511     0.3461
    1.0621    -1.6525     1.9650    -1.6087    -1.0007     0.7216     0.2715   -13.4951     2.1284     0.3301
    1.2395    -1.6421     2.0079    -1.5122   -15.0341     0.9370     0.0396   -11.1125     2.2053     0.3917
    1.0519    -1.6673     1.9690    -1.5957    -1.0163     0.7241     0.2628   -16.9697     2.1427     0.3434
    1.2007    -1.6555     1.9979    -1.5218   -29.3571     0.8851     0.0601   -19.3925     2.2025     0.3804
    1.2837    -1.6269     2.0074    -1.5129   -19.2324     0.9981     0.0139   -18.1864     2.2121     0.4118
    1.0599    -1.6541     1.9705    -1.5942    -1.0137     0.7190     0.2642   -12.4932     2.1427     0.3418
    1.0680    -1.6525     1.9624    -1.6231    -1.0071     0.7364     0.2814   -12.0088     2.1004     0.3109
    1.0526    -1.6587     1.9677    -1.6040    -0.9967     0.7169     0.2757   -16.2200     2.1315     0.3351
    1.0508    -1.6662     1.9676    -1.5962    -1.0118     0.7190     0.2619   -16.9547     2.1469     0.3467
    1.0606    -1.6608     1.9653    -1.6112    -1.0114     0.7326     0.2740   -16.4052     2.1185     0.3245
    1.2485    -1.6653     2.0126    -1.5076   -11.5371     0.9954     0.0251   -16.9468     2.2039     0.4022
    1.0394    -1.6705     1.9655    -1.6041    -0.9979     0.7096     0.2774   -16.9705     2.1365     0.3352
    1.0746    -1.6464     1.9647    -1.6233    -0.9980     0.7365     0.2837   -11.8297     2.1001     0.3116
    1.0485    -1.6642     1.9671    -1.6012    -1.0025     0.7166     0.2680   -15.0946     2.1389     0.3386
    1.0617    -1.6569     1.9709    -1.5962    -1.0153     0.7245     0.2621   -16.9675     2.1394     0.3378
    1.0539    -1.6626     1.9700    -1.6014    -1.0029     0.7229     0.2692   -15.6021     2.1325     0.3347
    1.0496    -1.6609     1.9733    -1.5874    -1.0072     0.7083     0.2641   -14.4321     2.1542     0.3515
    1.0503    -1.6622     1.9692    -1.5950    -1.0055     0.7142     0.2639   -16.9465     2.1483     0.3449
    1.0532    -1.6626     1.9758    -1.5874    -1.0182     0.7179     0.2632   -14.8281     2.1450     0.3423
    1.0568    -1.6631     1.9674    -1.6039    -1.0107     0.7254     0.2686   -11.9316     2.1312     0.3324
    1.0585    -1.6609     1.9735    -1.5894    -1.0189     0.7247     0.2584   -16.8389     2.1462     0.3470
    1.0739    -1.6557     1.9726    -1.5951    -1.0308     0.7427     0.2593   -16.9146     2.1321     0.3376
    1.0835    -1.6438     1.9699    -1.6039    -1.0254     0.7433     0.2630   -18.1232     2.1216     0.3267
    1.0560    -1.6592     1.9698    -1.5989    -1.0080     0.7202     0.2690   -15.6519     2.1369     0.3359
    1.1820    -1.6713     2.0042    -1.5160    -9.8464     0.8766     0.0815   -16.9038     2.1841     0.3594
    1.0510    -1.6642     1.9702    -1.6001    -1.0087     0.7194     0.2707   -11.9695     2.1321     0.3320
    1.0480    -1.6691     1.9621    -1.6095    -1.0069     0.7240     0.2706   -16.8885     2.1301     0.3330
    1.0614    -1.6558     1.9729    -1.5939    -1.0111     0.7242     0.2642   -16.8712     2.1392     0.3404
    1.0514    -1.6589     1.9650    -1.6040    -1.0022     0.7132     0.2715   -11.9695     2.1365     0.3359
    1.0515    -1.6634     1.9759    -1.5836    -1.0154     0.7138     0.2578   -14.3890     2.1557     0.3519
    1.0659    -1.6583     1.9752    -1.5909    -1.0283     0.7333     0.2616   -17.6327     2.1358     0.3376
    1.0447    -1.6635     1.9644    -1.6076    -0.9921     0.7099     0.2771   -14.8897     2.1335     0.3336
    1.0449    -1.6678     1.9593    -1.6068    -1.0042     0.7126     0.2662   -16.8856     2.1436     0.3425
    1.0529    -1.6687     1.9721    -1.5898    -1.0250     0.7276     0.2546   -11.8374     2.1478     0.3472
    1.0591    -1.6597     1.9677    -1.6056    -1.0090     0.7270     0.2720   -13.7484     2.1265     0.3295
    1.0519    -1.6676     1.9691    -1.5969    -1.0178     0.7240     0.2633   -16.9993     2.1398     0.3391
    1.0466    -1.6671     1.9703    -1.5975    -1.0032     0.7166     0.2697   -11.8115     2.1401     0.3403
    1.0477    -1.6784     1.9652    -1.6026    -1.0298     0.7327     0.2632   -16.9067     2.1337     0.3326
    1.0703    -1.6577     1.9718    -1.5949    -1.0314     0.7374     0.2588   -13.9610     2.1351     0.3373
    1.0525    -1.6612     1.9770    -1.5848    -1.0131     0.7150     0.2623   -12.6743     2.1498     0.3479
    1.0787    -1.6434     1.9635    -1.6199    -1.0030     0.7382     0.2797   -20.1454     2.1061     0.3188
    1.1901    -1.6680     2.0053    -1.5141    -9.9755     0.8880     0.0627   -16.8445     2.1997     0.3872
    1.0514    -1.6628     1.9770    -1.5839    -1.0178     0.7160     0.2588   -13.1690     2.1502     0.3481
    1.0499    -1.6609     1.9631    -1.6077    -0.9947     0.7145     0.2729   -14.0311     2.1360     0.3359
    1.0647    -1.6522     1.9597    -1.6340    -0.9852     0.7297     0.2912   -16.9773     2.0953     0.3051
    1.0444    -1.6686     1.9760    -1.5876    -1.0103     0.7119     0.2680   -16.8524     2.1471     0.3430
    1.0568    -1.6610     1.9699    -1.5999    -1.0098     0.7264     0.2674   -16.9350     2.1327     0.3357
    1.2315    -1.6395     2.0206    -1.4993   -13.7672     0.9136     0.0586   -11.1286     2.1978     0.3812
    1.0490    -1.6634     1.9642    -1.6037    -1.0037     0.7129     0.2730   -16.6634     2.1403     0.3372
    1.2230    -1.6317     2.0033    -1.5160   -11.5470     0.8835     0.0783   -16.9565     2.1881     0.3652
    1.0491    -1.6648     1.9722    -1.5942    -1.0028     0.7156     0.2672   -12.4840     2.1432     0.3422
    1.0551    -1.6607     1.9699    -1.5974    -1.0105     0.7201     0.2666   -11.9000     2.1383     0.3386
    1.0585    -1.6605     1.9653    -1.6112    -1.0068     0.7296     0.2746   -16.4310     2.1193     0.3254
    1.0693    -1.6555     1.9705    -1.6042    -1.0209     0.7379     0.2682   -17.2848     2.1206     0.3242
    1.0478    -1.6698     1.9681    -1.5981    -1.0143     0.7203     0.2639   -16.8145     2.1413     0.3385
    1.0573    -1.6650     1.9724    -1.5971    -1.0201     0.7304     0.2681   -16.9309     2.1306     0.3331
    1.0508    -1.6686     1.9693    -1.5987    -1.0167     0.7256     0.2667   -13.9411     2.1355     0.3343
    1.0737    -1.6558     1.9660    -1.6067    -1.0298     0.7430     0.2657   -16.9491     2.1214     0.3271
    1.0691    -1.6603     1.9702    -1.6015    -1.0278     0.7421     0.2658   -12.7521     2.1241     0.3299
    1.0578    -1.6605     1.9752    -1.5873    -1.0200     0.7219     0.2566   -16.9183     2.1486     0.3449
    1.0566    -1.6641     1.9764    -1.5835    -1.0274     0.7245     0.2524   -12.5044     2.1520     0.3493
    1.0606    -1.6552     1.9617    -1.6096    -1.0030     0.7243     0.2676   -13.0098     2.1329     0.3355
    1.0646    -1.6552     1.9695    -1.5949    -1.0221     0.7267     0.2585   -16.9338     2.1427     0.3420
    1.0580    -1.6626     1.9827    -1.5704    -1.0418     0.7213     0.2435   -13.3283     2.1639     0.3603
    1.2375    -1.6194     2.0101    -1.5098    -8.4406     0.8924     0.0644   -14.5178     2.1971     0.3729
    1.0480    -1.6680     1.9748    -1.5913    -1.0119     0.7206     0.2675   -16.8659     2.1393     0.3408
    1.0470    -1.6672     1.9647    -1.6033    -1.0000     0.7181     0.2683   -16.9485     2.1402     0.3406
    1.0587    -1.6558     1.9727    -1.5952    -1.0098     0.7186     0.2666   -16.9510     2.1386     0.3358
    1.0522    -1.6654     1.9602    -1.6165    -1.0033     0.7252     0.2778   -12.9104     2.1212     0.3244
    1.0775    -1.6488     1.9700    -1.6009    -1.0251     0.7405     0.2633   -16.9993     2.1262     0.3321
    1.2498    -1.6246     2.0086    -1.5116   -11.8386     0.9210     0.0513   -16.9376     2.2011     0.3775
    1.0561    -1.6578     1.9742    -1.5924    -1.0032     0.7175     0.2646   -16.9111     2.1432     0.3423
    1.0513    -1.6559     1.9683    -1.6046    -0.9949     0.7081     0.2768   -10.8518     2.1323     0.3270
    1.0520    -1.6694     1.9812    -1.5780    -1.0316     0.7258     0.2540   -12.0056     2.1498     0.3499
    1.0631    -1.6630     1.9664    -1.5995    -1.0331     0.7347     0.2592   -18.5659     2.1353     0.3382
    1.5839    -1.6709     2.1074    -1.4124   -19.0077     1.6258    -0.0788    -1.3707     2.1928     0.4771
    1.0655    -1.6580     1.9572    -1.6205    -1.0098     0.7379     0.2717   -16.9053     2.1170     0.3253
    1.0498    -1.6622     1.9684    -1.5978    -1.0053     0.7108     0.2691   -16.9564     2.1444     0.3384
    1.0431    -1.6707     1.9662    -1.6002    -1.0106     0.7127     0.2650   -11.7016     2.1410     0.3394
    1.0549    -1.6590     1.9736    -1.5916    -1.0098     0.7173     0.2662   -16.8712     2.1428     0.3414
    1.0511    -1.6620     1.9675    -1.6003    -0.9994     0.7135     0.2688   -16.9616     2.1435     0.3391
    1.0467    -1.6698     1.9765    -1.5900    -1.0092     0.7211     0.2683   -16.8232     2.1396     0.3414
    1.0629    -1.6574     1.9618    -1.6119    -1.0079     0.7287     0.2715   -11.4369     2.1271     0.3300
    1.0487    -1.6707     1.9719    -1.5952    -1.0163     0.7246     0.2670   -16.9232     2.1373     0.3366
    1.0521    -1.6583     1.9615    -1.6106    -0.9911     0.7149     0.2739   -16.9481     2.1345     0.3360
    1.0459    -1.6598     1.9670    -1.5973    -1.0034     0.6965     0.2655   -19.7684     2.1484     0.3427
    1.0492    -1.6617     1.9708    -1.5911    -1.0046     0.7092     0.2620   -16.8898     2.1532     0.3500
    1.0557    -1.6607     1.9647    -1.6024    -1.0118     0.7217     0.2643   -16.9911     2.1389     0.3395
    1.0584    -1.6625     1.9666    -1.6015    -1.0185     0.7284     0.2653   -13.2474     2.1349     0.3362
    1.0798    -1.6415     1.9636    -1.6283    -0.9904     0.7358     0.2889   -13.3870     2.0960     0.3104
    1.0549    -1.6640     1.9713    -1.5935    -1.0186     0.7256     0.2619   -12.2332     2.1416     0.3422
    1.0484    -1.6682     1.9702    -1.5945    -1.0095     0.7205     0.2616   -19.8570     2.1459     0.3449
    1.0476    -1.6635     1.9700    -1.5989    -0.9972     0.7130     0.2721   -11.3641     2.1395     0.3378
    1.2271    -1.6548     2.0095    -1.5102   -11.1194     0.9325     0.0516   -16.7568     2.1980     0.3845
    1.0806    -1.6479     1.9597    -1.6279    -1.0025     0.7440     0.2812   -12.2689     2.1021     0.3143
    1.0472    -1.6694     1.9796    -1.5787    -1.0212     0.7166     0.2571   -11.9969     2.1557     0.3532
    1.0926    -1.6373     1.9671    -1.6182    -1.0113     0.7444     0.2806   -12.8881     2.1033     0.3142
    1.0751    -1.6487     1.9635    -1.6210    -1.0100     0.7400     0.2790   -13.1249     2.1021     0.3135
    1.0543    -1.6727     1.9796    -1.5764    -1.0463     0.7337     0.2438   -16.9667     2.1558     0.3555
    1.0655    -1.6564     1.9826    -1.5719    -1.0397     0.7256     0.2442   -16.9279     2.1608     0.3590
    1.0493    -1.6584     1.9681    -1.5931    -1.0015     0.7039     0.2641   -11.6983     2.1560     0.3516
    1.0556    -1.6673     1.9724    -1.5955    -1.0209     0.7320     0.2638   -16.4843     2.1337     0.3367
    1.0676    -1.6553     1.9659    -1.6138    -1.0122     0.7380     0.2720   -16.9044     2.1126     0.3186
    1.0558    -1.6617     1.9738    -1.5903    -1.0126     0.7191     0.2607   -13.8643     2.1476     0.3441
    1.0815    -1.6457     1.9733    -1.5969    -1.0269     0.7416     0.2615   -16.9358     2.1279     0.3325
    1.0569    -1.6607     1.9696    -1.5993    -1.0099     0.7228     0.2662   -15.0067     2.1370     0.3360
    1.0855    -1.6426     1.9648    -1.6205    -1.0158     0.7445     0.2795   -16.9373     2.0998     0.3115
    1.0506    -1.6566     1.9652    -1.6036    -0.9988     0.7077     0.2703   -16.9244     2.1400     0.3346
    1.0503    -1.6675     1.9751    -1.5899    -1.0179     0.7195     0.2636   -16.6795     2.1424     0.3391
    1.0585    -1.6605     1.9683    -1.6040    -1.0137     0.7252     0.2676   -16.9084     2.1279     0.3287
    1.0516    -1.6677     1.9729    -1.5930    -1.0135     0.7240     0.2650   -16.9543     2.1412     0.3414
    1.0548    -1.6616     1.9724    -1.5926    -1.0151     0.7194     0.2642   -18.7457     2.1426     0.3409
    1.0717    -1.6546     1.9708    -1.6005    -1.0259     0.7380     0.2662   -11.2826     2.1253     0.3295
    1.0556    -1.6560     1.9675    -1.6010    -1.0035     0.7147     0.2675   -16.7723     2.1391     0.3360
    1.0532    -1.6721     1.9749    -1.5825    -1.0378     0.7296     0.2475   -12.7976     2.1553     0.3536
    1.0516    -1.6640     1.9732    -1.5880    -1.0154     0.7174     0.2581   -17.4024     2.1508     0.3495
    1.0633    -1.6587     1.9745    -1.5926    -1.0247     0.7302     0.2641   -14.2780     2.1343     0.3359
    1.0571    -1.6639     1.9683    -1.6012    -1.0162     0.7291     0.2673   -16.9521     2.1321     0.3349
    1.0582    -1.6634     1.9682    -1.6040    -1.0145     0.7312     0.2695   -13.0040     2.1264     0.3304
    1.0449    -1.6682     1.9719    -1.5906    -1.0139     0.7115     0.2608   -16.9907     2.1487     0.3463
    1.0656    -1.6568     1.9676    -1.6076    -1.0135     0.7336     0.2710   -16.9497     2.1213     0.3259
    1.2128    -1.6472     2.0113    -1.5081   -10.2369     0.8876     0.0846   -26.9624     2.1812     0.3574
    1.0474    -1.6639     1.9755    -1.5886    -1.0064     0.7128     0.2677   -17.0097     2.1453     0.3451
    1.0667    -1.6482     1.9688    -1.6008    -1.0078     0.7223     0.2691   -12.0144     2.1336     0.3355
    1.0630    -1.6576     1.9701    -1.6029    -1.0116     0.7293     0.2697   -16.9500     2.1273     0.3297
    1.0496    -1.6632     1.9718    -1.5965    -1.0024     0.7138     0.2700   -14.5878     2.1404     0.3370
    1.2100    -1.6536     2.0128    -1.5066   -12.7528     0.8890     0.0834   -13.2083     2.1837     0.3615
    1.0746    -1.6449     1.9634    -1.6200    -1.0012     0.7340     0.2819   -16.2120     2.1061     0.3177
    1.0439    -1.6679     1.9663    -1.6017    -1.0057     0.7111     0.2726   -11.7720     2.1385     0.3354
    1.0478    -1.6737     1.9737    -1.5877    -1.0295     0.7265     0.2575   -13.0288     2.1466     0.3452
    1.0525    -1.6603     1.9637    -1.6108    -1.0017     0.7190     0.2759   -16.9686     2.1245     0.3271
    1.0596    -1.6585     1.9821    -1.5737    -1.0294     0.7182     0.2492   -16.9224     2.1605     0.3570
    1.0537    -1.6580     1.9744    -1.5933    -1.0060     0.7127     0.2699   -13.3407     2.1396     0.3362
    1.0555    -1.6539     1.9668    -1.6053    -0.9982     0.7117     0.2752   -16.9546     2.1321     0.3298
    1.0464    -1.6618     1.9689    -1.5964    -0.9986     0.7067     0.2698   -14.8240     2.1474     0.3419
    1.0627    -1.6587     1.9652    -1.6105    -1.0084     0.7319     0.2703   -16.8572     2.1218     0.3281
    1.0553    -1.6620     1.9756    -1.5833    -1.0218     0.7187     0.2551   -16.8792     2.1548     0.3531
    1.0589    -1.6601     1.9693    -1.5973    -1.0207     0.7242     0.2634   -16.9521     2.1380     0.3359
    1.0800    -1.6458     1.9735    -1.5976    -1.0233     0.7381     0.2652   -11.9228     2.1269     0.3315
    1.0516    -1.6612     1.9730    -1.5934    -1.0182     0.7114     0.2650   -17.2319     2.1377     0.3354
    1.0540    -1.6668     1.9765    -1.5874    -1.0222     0.7277     0.2602   -16.8162     2.1419     0.3432
    1.0496    -1.6676     1.9749    -1.5892    -1.0172     0.7177     0.2627   -16.2564     2.1449     0.3419
    1.0669    -1.6520     1.9624    -1.6293    -1.0003     0.7323     0.2891   -12.0170     2.0930     0.3001
    1.3154    -1.6165     2.0096    -1.5101   -11.2085     1.0328     0.0157   -16.9743     2.2054     0.4026
    1.0585    -1.6618     1.9719    -1.5988    -1.0150     0.7299     0.2693   -12.0596     2.1283     0.3329
    1.0580    -1.6683     1.9807    -1.5755    -1.0510     0.7348     0.2458   -16.9688     2.1513     0.3518
    1.0598    -1.6630     1.9714    -1.5925    -1.0263     0.7304     0.2580   -16.9707     2.1419     0.3417
    1.0748    -1.6518     1.9763    -1.5888    -1.0359     0.7381     0.2575   -13.6207     2.1356     0.3389
    1.0495    -1.6676     1.9674    -1.5975    -1.0105     0.7180     0.2629   -13.2718     2.1463     0.3432
    1.0438    -1.6731     1.9786    -1.5817    -1.0205     0.7164     0.2618   -16.8200     2.1514     0.3491
    1.0654    -1.6573     1.9670    -1.6049    -1.0156     0.7322     0.2670   -11.7938     2.1287     0.3297
    1.0565    -1.6642     1.9714    -1.5982    -1.0167     0.7285     0.2694   -12.4604     2.1309     0.3339
    1.0634    -1.6500     1.9696    -1.6045    -0.9996     0.7219     0.2737   -12.0383     2.1268     0.3299
    1.0554    -1.6660     1.9709    -1.5961    -1.0207     0.7286     0.2629   -13.1949     2.1370     0.3365
    1.2028    -1.6390     2.0092    -1.5104    -9.6494     0.8592     0.0592   -11.2177     2.2124     0.3832
    1.0613    -1.6613     1.9739    -1.5942    -1.0260     0.7308     0.2642   -13.1809     2.1324     0.3325
    1.0694    -1.6525     1.9763    -1.5904    -1.0272     0.7316     0.2635   -16.9211     2.1339     0.3362
    1.0491    -1.6704     1.9429    -1.6259    -1.0078     0.7273     0.2650   -11.5385     2.1369     0.3403
    1.0553    -1.6614     1.9767    -1.5825    -1.0217     0.7186     0.2564   -15.5539     2.1538     0.3522
    1.0726    -1.6492     1.9643    -1.6113    -1.0086     0.7331     0.2727   -16.9123     2.1216     0.3288
